No;Komentar
1;sambel bu rudy mantap guys pelayanan cepat baik beli pakai gojek nih hasilnya www youtube comwatchvusvclfpmm
2;punya restoran kaya bu rudy laris banyk makan sukses bu
3;luar
4;kesurabayaslalu membeli
5;besok coba ahh beli sambel bu rudy
6;makan isi nya udang kering sambel bu rudyy
7;halal
8;pikir tolol
9;arif mark idiot bertanya ap jawab ap
10;ahmad aprijal pikir tolol sambel bawang pakai babi
11;arif mark minyak babi tolol panci bekas goreng babi idiot sutil bekas balikin daging babi idiot
12;arif mark bertanya baik baik jawab bilang tolol ank idiot payah emang
13;toko mirip lokasi bazaar makanan punya bu rudy wkwkwkw
14;iklan sampone konyol banget
15;ibu ku kl mask is the besttttt pinte masakkkk
16;orang tionghoa mah ahli nya bisnis jadi bisnis hematoma sederhana ulet biar kaya suka pamer
17;alhamdulillah sambal bu rudi terkenal asia suksesselalu
18;bu rudy panutan ibu ibu pengusaha masa
19;wih canggih keren
20;tamupasienpenumpangcustomer komplen terkadang tamunya dilaporin polisi pasal pencemaran nama baikmelanggar uu ite blablabla
21;rasanya cara beli nya maná
22;lazada hehehe
23;sambelny beneran enakk
24;sambal nikmati
25;jerman senang pulang beli sambel nya bu tunggu mudik hihi
26;jual jerman yah
27;donald duck mahal wajar sih belom menemukan jualan soalnya jualan diem kena petugas denda
28;rosalina altomeni belanda kayaknya susah menemukan barang eksotis australia gampang
29;donald duck gampang menemukan nya
30;pedas umum mangan sambel
31;medan bika ambon bolu gulung ratih
32;tahun warung bu rudi dijalan dharmahusada surabaya ingat waktu jaman kuliahku makan pacar hehehe mantap bu masakannya top banget
33;jadi kangen sambal bu rudy
34;bikin pabrik bu terus bula lowongan kerja babyak wkwjwk
35;tertarik kata bang alexx sambel bu rudi pedas banget pedas gila wkwkw
36;etnis tiong hoa kl njowo njowone orang jawa
37;etnis tionghoa bung tinggal jawa suroboyo medok nyaa
38;boso inggris ae inggris jowo
39;etnis tionghoa surabaya logate medok bos hari pakai bahasa jawa
40;suroboyo hadir
41;surabaya area beli
42;aduh lihat pepesnya bikin ngiler
43;aneh tampang china ngomong jawanya medok heran
44;surabaya bang heran main kemari nonik cantik bening pemain film korea mall besar nya lumayan cuci mata medok banget
45;orang madiun tau pecel bu hehehe
46;dibakar pakai daun bu rudy min
47;ikan hiu
48;emang onta dki minim prestasi
49;hahahaha ngoyo pengikut ahoker
50;ohh dibilang bang alex nih
51;menginspirasi
52;mantap bu rudi konsep perlu ditiru besarpun ushanya pembeli tetap diatas dihargai klau kebanyakan indonesia klau tenar dikomplain peduli pelanggan
53;kaya mamakku kuliner tempat bisi prinsipnya mamakku jadi rindu mamak
54;indomaret nih coba
55;hebat nasehat beliau dibawahnya pembeli sukses trsya bu rudy amiin
56;tau ni sambel chanel bangg alex
57;hebat perjuangnnya
58;sambal buatan kafir makan haram ingat tuhan makanan haram like
59;tolol
60;papua loh bu hebat bu salut usahanya sukses terus bu
61;cina
62;tempat kerjaku disamping pas warungnya bu rudy beliau jadi nasabah preffered nasabah diutamakanbanyak duit pas bu rudy masuk bank banking hall bau masakan enak banget jadi lapar
63;resto fav ku ki sehat terus nggeh bu rudy enak makanan
64;tumben cina nya ramah jutek
65;main mu kurang jauh
66;orang surabaya nya kenal cina surabaya
67;suroboyo cok
68;luar biasaa sesukses
69;disebut bang alex pas main pubgm misal grozali pedas kaya sambal bu rudi setuju like
70;hehe bahasa jowo nya
71;emang maknyos sih sambel hijau nya
72;enak nyoba mahal bikin nagih
73;betul cinta pekerjaan lakukan kendalamasalah menghalangi
74;sambel kesayangan banget
75;setuju bu siap dikomplain kemajuan usaha kaya garuda
76;ii chinese mukanya old korean semagat ii doakan usahku lancar
77;mamak kampung
78;wahh ternyata madiun
79;bu rudii mantaaabb inspirasi
80;katanya enak banget sambel nya bu rudy rasa
81;wanita hebat inspirasi
82;tulungagung
83;bingung enak banget sambalnya dimakan pakai nasi hangat nikmat
84;sambelnya nampol nikmat wkwk
85;jadi pengennnnn taiwan sambel enak laku ayok angkut kesini
86;mantap bgd sambelnya bu rudi
87;semoga ibu jadi pengusaha sukses amin
88;jual online penasaran banget
89;orang kelahiran madiun emang
90;luar bu
91;pembeli dihargai penjual siap dikomplain moto bagus
92;kl solo beli masa online
93;mantap cik
94;enak sambelnya ibukku
95;cocok banget sambel bawa eropa
96;jual sambel namanya sambel teri sambel ikan asin pakai merek namaku semoga kelak succes bu rudi
97;amin
98;datang kesini tau bang alex like
99;sambal bawang bu rudi mantaaapp
100;gara bang alex tau sambal bu rudi
