Author;Komentar;Klasifikasi
Rain Rain;coba klo ekspor taiwan hongkong laris bnget tuh sambel enak ja laris manis;positif
Darwin Kusuma;bu rudy bakal legend tahun jalan jamu nyonya meneer jamu iboe;positif
Audia Marhendra W;lihat orang nya rendah hati usaha ibu sukses kati tuhan bu ngomong tahan sambal jd cobain beli makan sambal;positif
DEANA;sambel bawang enak kalah sambel bawang bu rudy hehehe favorit banget;positif
Amelia Novani;sumpah sambel bu rudy nich kurang ajar banget masa bikin nasi bakul jadi habis;positif
Eroll Gamell;enak layan makan tempat cuek jam ramai jam makan siang angkat tangan bolak balik narik perhati pesan lihat tok gubris mbok layan meja kancane sing diam ae suruh mbantu gitu lho;negatif
Jeje;tetap rendah hati bu rudi kayak sambal top banget;positif
Robbi;pesan bisnis manwoman khas indonesia tolak belakang teori bisnis modern lapang nya konsumen tau original sambel bu rudy pokok nya perjadin surabaya ibu pesan sambal bu rudy mantabsss;positif
Abraham Ishak;kasir nama narti payah sambel enak layan kasir malas;negatif
Gilsz WARRIOR;ooo orang bu rudiiii garagara ibu nih klo surabaya temen surabaya beli sambelnya bu tanggung jawab bu jd tagih lho;positif
stella santoso;sambelnya jos makan tagih juara soal rasa apalgi sambel bawang beeeeeh jooossss pedesnya jdi makan sambelnya;positif
Shendy Christiana10;sambalx benar enak ksna terus beli nda nyesal beli bnyak ole;positif
Janet Halim;aduh jadi surabaya;positif
Silviana Anggraini;sambal shaolin soccer kungfu hustle enak sambelnya bu banyak mencret;positif
Widya Ramadhanty;mantabbbb bu rudi;positif
sheila shaqila;udang nya enak;positif
Onel Karmela;medium asli loh cikmantap harum madiun tacik;positif
Zikeo Lee;favorit gue sambel ijo enak banget rindu surabaya lg;positif
Falin Fadhila;siap komplain suka banget kalimat bu rudy sambal bawang benarbenar pedas maagku kambuh lewat mah;positif
sengaji;senenge rek nek suroboyo ngomong medok ngoko senang tenan;positif
Nadine Viska;enaaaaakkkkk;positif
reynard imawan;warung bu rudy murah warung food court shopping mall;positif
lauren 2;hebat banget bu rudi motivasi banget;positif
firmann ekhh;sambel sayang banget;positif
Permen Polo;mantap bu rudy sharingnya jadi motivasi;positif
MuddPudd29;emng enak si sambelnya bu rudy bikin tagih yummmyyy;positif
N A D / I F;legenda wenak;positif
Auto Mancing;bener enak sambelnya bu rudi mantap bos;positif
Rizaki Zanuardi;sambal bu rudy the bagus pokok;positif
The Dav;hebat;positif
balqis rahmadhani;bu rudy higienis buat emas baik utama karyawan pakai sarung tangan masker lantai;negatif
Hay kenalan yuk;terima kasih bu atas sambel legend nya;positif
Edward L;bu rudica yooo;positif
Vallerie Deniza;motivasi bu;positif
Ekklesia KT;sambal favenya ria sw;positif
Cindy M;jadi laper nih;positif
fifo andjani;salut bu rudy;positif
admin wati;sambel favorit ku hmmmm mantap;positif
Satria Danan;sambelmu muantab bu;positif
Consetta Andy;sambel burudy mantap dua;positif
gara pur;kangen sambal nya;positif
Joshua Rafael;kue artis kalah sambel bu rudy;positif
Tegar Pratama;suka banget orang kaya beliau jiwa dagang percaya;positif
HaveFun;bu lanny makan indomi pakai sambal bawang ibu sendok mm merem melek serundeng ibu jg enaak campur nasi goreng;positif
Jovi Ajjaib;sambel favorittttt;positif
Iam Erin;wadubosnya ikut jual jugasalut;positif
Maki Maki;sambel mak yy enak cuy;positif
sad boi;inspirasi bu rudy beliau;positif
Cintia N;ah;positif
TwinklyTee;recomended;positif
Shabrina Putri R;sambel enak tagih beli nya jauh banget;positif
Ayu Safitri;inspirasi;positif
Septina Ika Darmastuti;sambal bu rudi emg enakkk si;positif
niken lestari;terinsipirasi bu rudy terimakasih bu rudy;positif
Erdiany Siswandini;mantap nih emang bu rudy sambel udang kering aduuuhhh bikin nagih;positif
Shiro Risu;keren banget sih;positif
maca maskirana;mantap bu rudi konsep perlu tiru besar ushanya beli tetap atas harga klau banyak indonesia klau tenar gak komplain gak peduli langgan;positif
Anggita Rusma;jadi pengin icip icip;positif
Ucha Nusa;keren inspirasi god bless bu rudy;positif
ZUHA Senpai Channel;mantap bu rudy;positif
Richard Steven;bu rudy panutan ibu ibu usaha masa;positif
Faisal YT;yaampun sambelnya enak banget;positif
Naura Olif;sambel bu rudy amerika loh;positif
walll wall;mantap cik;positif
hendra tj;sambel bu rudy mantap banget;positif
Fitra Rahmadhantias;bu rudi mantaaabb inspirasi;positif
